id	sym	A2058_Control_1_RNA	A2058_Control_2_RNA	A2058_Control_3_RNA	A2058_VitC_1_RNA	A2058_VitC_2_RNA	A2058_VitC_3_RNA
ENSG00000240613	RN7SL98P	0	0	0	0	0	0
ENSG00000240616	RPS6P25	47	27	21	32	38	29
ENSG00000240621	OR2AO1P	0	0	0	0	0	0
ENSG00000240622	RPL7P15	3	1	4	0	1	0
ENSG00000240624	RP11-45P15.2	0	0	0	0	0	0
ENSG00000240625	RN7SL403P	2	2	0	0	3	1
ENSG00000240626	RN7SL150P	0	0	0	0	0	0
ENSG00000240627	CTD-2312P21.1	2	0	0	1	0	0
ENSG00000240631	RPL30P12	0	0	0	0	0	0
ENSG00000240632	SPATA31D5P	3	1	1	0	0	1
ENSG00000240634	RP11-1348G14.1	1	1	0	1	5	3
ENSG00000240637	RN7SL808P	0	0	0	0	0	0
ENSG00000240639	RN7SL666P	0	0	0	0	0	0
ENSG00000240641	RN7SL580P	0	0	0	1	1	0
ENSG00000240647	RN7SL305P	0	0	0	0	0	0
ENSG00000240651	SEPT7P4	0	0	0	0	0	1
ENSG00000240652	RP11-832N8.1	4	6	6	3	5	8
ENSG00000240654	C1QTNF9	1	0	1	2	3	3
ENSG00000240661	RP11-174O3.3	3	5	4	2	4	1
ENSG00000240663	RN7SL310P	0	0	0	0	0	0
ENSG00000240665	LSP1P2	0	0	1	0	0	0
ENSG00000240666	MME-AS1	4	2	0	4	2	2
ENSG00000240667	AL450992.6	0	0	0	0	0	0
ENSG00000240668	KRT8P36	2	1	6	4	5	3
ENSG00000240669	RP11-555K12.2	0	0	0	0	0	0
ENSG00000240671	IGKV1-8	0	0	0	0	0	0
ENSG00000240673	AC006539.2	0	0	0	0	0	0
ENSG00000240674	RP11-366M4.1	3	6	2	2	0	0
ENSG00000240677	MYL6P4	1	2	0	0	0	0
ENSG00000240680	AC016831.3	0	0	0	1	0	1
ENSG00000240682	ISY1	557	376	254	355	456	315
ENSG00000240687	RP11-521D12.1	3	0	2	1	1	1
ENSG00000240692	RN7SL538P	0	0	0	0	0	0
ENSG00000240694	PNMA2	14	9	2	2	1	2
ENSG00000240695	RP11-102M11.1	78	97	45	69	80	110
ENSG00000240698	RPS2P39	0	0	0	0	0	0
ENSG00000240704	KLF7P1	0	0	0	0	0	1
ENSG00000240707	LINC01168	0	0	0	0	0	0
ENSG00000240708	RP11-64C1.1	1	1	0	0	1	0
ENSG00000240710	RP11-430C7.4	3	3	0	0	1	2
ENSG00000240713	RN7SL860P	0	0	0	0	0	0
ENSG00000240718	RN7SL851P	10	4	4	12	2	4
ENSG00000240720	LRRD1	6	9	3	8	4	2
ENSG00000240721	RPS4XP15	2	0	0	0	2	1
ENSG00000240723	RN7SL382P	1	1	0	1	0	0
ENSG00000240724	RPS12P15	0	1	0	0	0	0
ENSG00000240729	CTD-2301A4.3	19	17	8	8	17	8
ENSG00000240731	RP5-890O3.9	19	11	6	13	20	5
ENSG00000240733	RN7SL502P	0	0	0	0	0	0
ENSG00000240738	RP1-273G13.1	0	0	0	0	1	3
ENSG00000240739	RP11-69M1.1	0	2	0	0	0	0
ENSG00000240747	KRBOX1	1	0	0	2	5	3
ENSG00000240750	RN7SL559P	24	12	9	12	15	13
ENSG00000240751	RP11-553D4.2	0	0	0	0	0	1
ENSG00000240752	RP11-588D3.1	0	0	0	0	0	0
ENSG00000240755	ERLEC1P1	0	0	0	0	0	0
ENSG00000240758	RP11-155G14.6	0	0	0	1	0	0
ENSG00000240759	RP11-25I15.1	2	0	0	0	0	2
ENSG00000240760	RPL31P56	0	0	0	1	0	2
ENSG00000240761	AC098831.4	0	0	0	0	0	0
ENSG00000240764	PCDHGC5	17	15	7	10	15	15
ENSG00000240766	PLCXD2-AS1	0	0	0	0	0	0
ENSG00000240767	RN7SL288P	0	0	0	0	0	1
ENSG00000240770	C21orf91-OT1	0	2	0	0	3	0
ENSG00000240771	ARHGEF25	759	468	356	376	472	331
ENSG00000240772	RN7SL776P	0	0	0	1	0	0
ENSG00000240774	RP11-359H3.4	0	0	0	3	1	0
ENSG00000240775	RP11-170N16.2	5	3	1	2	8	2
ENSG00000240776	RP11-435F17.1	0	2	0	1	0	0
ENSG00000240777	RP11-58O15.1	0	0	1	0	0	0
ENSG00000240785	RPL36AP21	3	6	4	4	7	6
ENSG00000240787	RP11-615J4.4	1	0	0	0	0	0
ENSG00000240790	AC073934.6	5	3	0	1	5	5
ENSG00000240791	MTND4LP7	0	0	0	0	0	0
ENSG00000240792	RP11-418B12.1	0	0	0	0	1	0
ENSG00000240793	UBA52P8	0	0	0	0	0	0
ENSG00000240796	MTND2P14	1	0	0	0	0	0
ENSG00000240801	AC132217.4	0	0	0	0	0	0
ENSG00000240803	RN7SL231P	0	0	0	0	0	0
ENSG00000240804	NPM1P28	1	2	1	2	1	1
ENSG00000240808	CTD-3236F5.1	13	7	10	8	5	10
ENSG00000240809	RP11-550F7.1	101	97	35	75	66	46
ENSG00000240813	RP11-963H4.2	1	0	0	1	0	0
ENSG00000240821	RPL9P25	0	0	0	0	0	0
ENSG00000240823	RN7SL23P	1	0	1	3	0	0
ENSG00000240824	MTND3P7	1	0	0	0	0	4
ENSG00000240827	RP11-227H4.1	0	0	0	0	0	0
ENSG00000240828	RPL21P4	3	1	0	0	1	5
ENSG00000240837	RN7SL77P	0	0	0	0	0	0
ENSG00000240842	RP11-62G11.2	0	0	0	0	0	0
ENSG00000240846	RPS15P9	0	0	0	0	0	0
ENSG00000240847	RN7SL497P	0	0	0	0	0	0
ENSG00000240849	TMEM189	1747	1068	722	1050	1242	681
ENSG00000240853	RN7SL328P	4	5	0	0	4	3
ENSG00000240854	RP11-64K7.1	8	7	1	6	7	7
ENSG00000240857	RDH14	1175	762	485	716	822	595
ENSG00000240859	AC093627.10	1	3	0	2	0	1
ENSG00000240861	RP11-572F4.1	0	0	0	0	0	0
ENSG00000240863	RN7SL645P	0	0	0	0	0	0
ENSG00000240864	IGKV1-16	0	0	0	0	0	0
ENSG00000240868	C1QTNF9-AS1	0	0	0	0	0	0
ENSG00000240869	RN7SL128P	1	1	0	1	0	5
ENSG00000240870	RPL19P14	0	0	1	2	2	1
ENSG00000240871	KRTAP4-7	0	0	0	0	0	0
ENSG00000240873	RPS29P22	0	1	0	0	0	0
ENSG00000240874	CTD-2515H24.1	0	0	0	0	0	0
ENSG00000240875	LINC00886	51	24	14	33	58	40
ENSG00000240877	RN7SL521P	1	2	2	0	1	2
ENSG00000240881	RP11-713P14.1	0	0	0	0	2	0
ENSG00000240882	RP11-174O3.1	0	2	0	0	0	1
ENSG00000240888	RP13-635I23.3	0	0	0	0	0	0
ENSG00000240889	NDUFB2-AS1	21	20	9	20	24	18
ENSG00000240890	RP11-65E22.2	2	0	0	0	0	3
ENSG00000240891	PLCXD2	34	35	14	22	24	24
ENSG00000240893	RP11-572C15.5	0	4	1	3	0	2
ENSG00000240895	RP11-119D18.1	0	0	0	2	0	2
ENSG00000240898	RP11-48B14.1	8	9	5	10	12	2
ENSG00000240902	APOOP2	2	0	0	0	1	1
ENSG00000240905	RN7SL798P	0	0	0	0	0	0
ENSG00000240912	RP11-274J15.2	0	0	0	0	0	0
ENSG00000240914	RPL15P2	2	1	0	6	6	3
ENSG00000240915	RP11-659E9.2	1	2	0	0	0	0
ENSG00000240919	RP11-400K9.1	0	0	0	0	0	0
ENSG00000240922	LSAMP-AS1	1	2	0	3	5	3
ENSG00000240925	RPS20P31	1	0	0	0	0	0
ENSG00000240927	RN7SL209P	0	1	0	0	0	0
ENSG00000240929	HIST2H2BB	0	0	0	0	0	0
ENSG00000240934	RP11-925D8.1	0	0	0	0	0	1
ENSG00000240935	PLGLA	0	1	0	1	0	3
ENSG00000240936	RN7SL554P	0	0	0	0	0	1
ENSG00000240940	RN7SL591P	0	0	0	0	0	0
ENSG00000240950	RP11-372E1.1	0	1	1	1	1	1
ENSG00000240951	MTCO2P6	1	1	2	0	0	2
ENSG00000240954	RPL4P1	0	0	1	0	0	4
ENSG00000240959	ST13P14	0	0	1	0	0	2
ENSG00000240960	RP11-521D12.4	0	0	0	0	0	0
ENSG00000240961	RN7SL415P	0	0	0	0	0	0
ENSG00000240963	RP11-518L10.5	1	2	0	0	0	1
ENSG00000240964	RN7SL751P	16	24	20	25	28	10
ENSG00000240966	RN7SL681P	2	1	3	1	0	0
ENSG00000240970	RPL23AP64	0	0	0	0	0	0
ENSG00000240972	MIF	0	0	0	0	0	0
ENSG00000240973	RP11-458K10.2	1	1	0	2	3	4
ENSG00000240974	CTD-2024I7.1	0	0	0	0	0	0
ENSG00000240975	RP11-313M3.1	0	0	0	0	0	0
ENSG00000240977	RN7SL283P	0	0	0	0	1	0
ENSG00000240979	RP11-79D8.2	0	0	0	0	0	0
ENSG00000240980	RP11-734K21.4	0	0	0	1	0	0
ENSG00000240983	RP11-742D12.1	0	0	0	0	0	0
ENSG00000240990	HOXA11-AS	35	32	9	11	44	27
ENSG00000240991	RPL23AP67	0	1	0	0	1	0
ENSG00000240992	RPS23P4	0	0	0	0	0	0
ENSG00000240993	RN7SL459P	0	0	0	0	0	0
ENSG00000240995	RP11-708H21.1	0	0	0	0	0	1
ENSG00000240996	RP11-80H5.7	10	6	10	4	13	3
ENSG00000240997	RN7SL183P	0	0	0	0	0	0
ENSG00000241002	RP11-119H12.1	2	2	1	1	3	1
ENSG00000241003	RP11-22C11.1	1	0	0	1	2	1
ENSG00000241007	SEPT7P6	23	26	17	17	32	67
ENSG00000241008	RP11-494M8.1	0	0	0	0	0	0
ENSG00000241011	RP11-713C19.1	0	0	0	0	0	0
ENSG00000241014	RP11-244H3.1	27	14	10	13	18	17
ENSG00000241015	TPM3P9	452	300	184	284	326	204
ENSG00000241018	RCC2P5	1	1	0	0	0	0
ENSG00000241020	RP11-727A23.1	0	0	0	0	0	0
ENSG00000241022	NIPA2P2	0	0	0	0	1	0
ENSG00000241026	CTD-2036J7.1	0	0	0	0	0	0
ENSG00000241030	RPL29P24	14	12	6	4	9	6
ENSG00000241032	RN7SL709P	0	0	0	0	0	0
ENSG00000241035	RP11-689J19.1	0	0	0	0	1	1
ENSG00000241037	RN7SL335P	0	0	0	0	0	0
ENSG00000241042	RP11-145M4.1	0	0	3	0	1	0
ENSG00000241045	RPL7P43	0	0	0	0	2	1
ENSG00000241048	RP11-167H9.5	0	0	0	1	0	0
ENSG00000241052	RPL23AP70	1	0	0	0	0	0
ENSG00000241054	RP5-1002M8.4	0	0	0	0	0	0
ENSG00000241057	AC004985.12	5	5	1	1	2	1
ENSG00000241058	NSUN6	834	582	345	503	668	461
ENSG00000241059	CTD-2061E19.6	0	0	0	0	1	0
ENSG00000241061	RPL5P1	124	87	57	76	90	126
ENSG00000241064	RN7SL110P	0	0	1	0	0	0
ENSG00000241067	RPL17P40	0	0	0	0	0	0
ENSG00000241069	CTD-3141N22.1	0	0	0	0	0	0
ENSG00000241073	RP4-714D9.2	0	0	0	0	0	0
ENSG00000241074	RN7SL813P	2	0	2	2	0	0
ENSG00000241081	RP11-488C13.1	34	10	16	23	33	18
ENSG00000241082	RN7SL259P	0	0	0	0	0	0
ENSG00000241084	RP11-344B5.3	0	0	0	0	0	0
ENSG00000241088	RPL17P44	0	0	0	1	1	2
ENSG00000241095	CYP51A1P1	111	149	68	106	167	230
ENSG00000241097	RP11-864N7.1	0	0	1	0	0	1
ENSG00000241098	FLJ46066	2	2	0	1	2	3
ENSG00000241101	PRICKLE2-AS2	0	0	2	0	0	0
ENSG00000241102	RP11-286H14.2	0	0	0	0	0	1
ENSG00000241103	RP11-398J16.1	0	1	3	1	0	3
ENSG00000241104	CEACAMP10	0	3	0	1	1	0
ENSG00000241105	RP11-333A23.2	0	0	0	1	0	0
ENSG00000241106	HLA-DOB	0	0	0	0	0	0
ENSG00000241111	PRICKLE2-AS1	2	7	1	4	1	5
ENSG00000241112	RPL29P14	22	13	7	13	19	6
ENSG00000241114	AC008280.3	0	0	1	0	0	0
ENSG00000241119	UGT1A9	0	1	0	0	0	0
ENSG00000241120	HMGN1P8	13	13	5	16	11	13
ENSG00000241123	KRTAP10-5	0	0	0	0	0	0
ENSG00000241127	YAE1D1	991	613	353	672	805	584
ENSG00000241128	OR14A2	0	1	0	0	0	0
ENSG00000241129	RPL22P19	0	1	1	0	0	0
ENSG00000241130	RP11-507J18.1	0	0	0	0	1	0
ENSG00000241131	RP11-639B1.1	0	1	0	2	0	0
ENSG00000241134	BET1P1	0	0	0	0	0	0
ENSG00000241135	LINC00881	3	0	1	2	2	1
ENSG00000241136	PAICSP6	4	0	2	0	0	0
ENSG00000241143	RPL32P9	0	0	0	0	0	0
ENSG00000241144	RN7SL728P	0	0	0	0	0	0
ENSG00000241146	RPL7P41	0	0	0	0	0	0
ENSG00000241149	RP11-561N12.2	0	0	0	0	1	0
ENSG00000241151	RP11-454C18.1	0	0	0	0	0	0
ENSG00000241152	RN7SL720P	0	0	1	0	0	0
ENSG00000241155	ARHGAP31-AS1	19	14	6	8	24	5
ENSG00000241156	RN7SL582P	0	2	0	0	0	0
ENSG00000241157	RP11-3K24.1	10	20	7	5	16	12
ENSG00000241158	ADAMTS9-AS1	4	5	0	0	3	2
ENSG00000241159	RN7SL160P	0	0	0	1	0	0
ENSG00000241162	RN7SL617P	0	0	0	0	0	0
ENSG00000241163	LINC00877	1	0	0	0	0	2
ENSG00000241168	RP11-10O22.1	5	1	1	3	4	6
ENSG00000241169	RP4-752I6.1	1	0	0	0	0	0
ENSG00000241170	RP11-147I3.1	32	28	7	15	23	14
ENSG00000241172	RN7SL70P	1	0	1	2	1	1
ENSG00000241174	RN7SL570P	0	0	0	0	0	0
ENSG00000241175	RN7SL494P	2	0	0	2	3	1
ENSG00000241179	CTB-2L9.1	0	0	0	0	0	0
ENSG00000241180	RP11-54O7.2	0	0	0	0	0	0
ENSG00000241183	RP11-106J23.1	0	0	0	0	0	0
ENSG00000241185	RPL21P122	4	0	0	1	0	0
ENSG00000241186	TDGF1	2	1	1	0	0	4
ENSG00000241187	CTC-209L16.1	1	1	0	1	3	0
ENSG00000241188	RN7SL165P	0	0	0	0	0	1
ENSG00000241198	RN7SL191P	0	0	0	0	0	0
ENSG00000241200	ZNF736P7Y	0	0	0	0	0	0
ENSG00000241202	ZIC4-AS1	0	0	0	0	0	0
ENSG00000241203	HMGN2P26	0	0	1	1	0	0
ENSG00000241204	RP11-333A23.1	0	0	0	0	0	0
ENSG00000241207	RP11-344N17.3	1	0	0	0	0	0
ENSG00000241211	IQCJ-SCHIP1-AS1	7	3	2	0	0	2
ENSG00000241213	RP11-768G7.2	13	5	4	3	5	2
ENSG00000241216	SNAPC5P1	0	0	0	0	0	0
ENSG00000241217	RN7SL809P	15	6	7	10	7	3
ENSG00000241218	RP11-446H18.1	0	0	0	0	0	1
ENSG00000241219	RP11-572M11.1	0	0	0	0	0	1
ENSG00000241220	RP11-292E2.1	3	0	1	2	0	2
ENSG00000241221	MTND4LP17	0	0	0	0	0	0
ENSG00000241223	RN7SL39P	0	0	1	0	3	1
ENSG00000241224	FLJ22763	2	0	0	0	0	0
ENSG00000241225	NMTRS-TGA3-1	0	0	0	0	0	0
ENSG00000241226	RN7SL836P	0	0	0	0	0	0
ENSG00000241227	RN7SL553P	0	0	0	0	0	0
ENSG00000241228	RPL12P31	0	1	0	2	1	1
ENSG00000241229	RN7SL443P	2	0	0	0	2	1
ENSG00000241230	RN7SL801P	5	7	1	3	4	2
ENSG00000241231	RP11-275H4.1	0	0	0	1	3	1
ENSG00000241233	KRTAP5-8	0	0	0	0	0	0
ENSG00000241241	KRTAP4-16	0	0	0	0	0	0
ENSG00000241243	RN7SL629P	0	0	0	2	2	6
ENSG00000241244	IGKV1D-16	0	1	0	0	0	0
ENSG00000241246	RN7SL302P	0	0	0	0	0	0
ENSG00000241248	RN7SL727P	0	0	0	0	0	0
ENSG00000241250	RPL17P20	4	1	1	0	7	3
ENSG00000241251	RP11-73B8.1	0	0	0	0	0	0
ENSG00000241255	RP1-89D4.1	93	92	50	65	79	176
ENSG00000241257	RP11-397K18.1	0	0	0	0	0	0
ENSG00000241258	CRCP	1802	1186	723	1301	1567	1078
ENSG00000241261	RPL17P19	4	9	5	9	13	6
ENSG00000241269	AC093620.5	2	0	5	0	2	1
ENSG00000241278	ENPP7P4	0	0	0	0	0	0
ENSG00000241280	RP11-221J22.2	23	17	6	16	18	18
ENSG00000241281	RP11-364M6.1	0	0	0	1	0	0
ENSG00000241282	RPL34P33	3	2	1	0	1	0
ENSG00000241286	RPL29P25	0	0	0	0	0	0
ENSG00000241288	RP11-379B18.5	16	19	3	10	17	5
ENSG00000241291	RN7SL791P	1	0	0	0	0	0
ENSG00000241293	PPATP1	11	12	5	7	11	16
ENSG00000241294	IGKV2-24	0	0	0	0	0	0
ENSG00000241295	ZBTB20-AS2	0	0	0	0	0	0
ENSG00000241305	ACTG1P13	0	0	0	1	0	0
ENSG00000241307	RP11-674E16.1	0	1	0	0	0	0
ENSG00000241313	WWTR1-AS1	28	12	11	18	28	7
ENSG00000241316	SUCLG2-AS1	212	138	71	178	207	102
ENSG00000241317	RP11-342M3.1	0	2	0	1	0	0
ENSG00000241318	WDR82P2	0	1	0	0	1	1
ENSG00000241319	SETP6	6	10	0	2	3	1
ENSG00000241322	CDRT1	46	37	19	28	38	24
ENSG00000241324	RP5-921G16.2	0	1	0	2	0	0
ENSG00000241326	RP11-807G9.2	0	0	0	0	0	0
ENSG00000241328	RP11-331K15.1	0	0	1	4	1	4
ENSG00000241333	RN7SL385P	0	0	0	0	0	0
ENSG00000241334	RPL35AP33	0	0	0	0	0	0
ENSG00000241336	LINC01487	0	0	0	0	0	1
ENSG00000241343	RPL36A	430	269	175	215	292	182
ENSG00000241344	RPL21P47	1	0	0	0	1	1
ENSG00000241345	RP4-630C24.3	3	0	0	2	1	1
ENSG00000241346	SNRPCP11	0	0	0	0	0	0
ENSG00000241347	RN7SL466P	1	0	0	2	2	0
ENSG00000241350	PMS2P11	2	1	0	2	1	0
ENSG00000241351	IGKV3-11	0	0	0	0	0	0
ENSG00000241352	RP11-392P7.1	9	5	3	6	4	7
ENSG00000241353	PPP1R2P4	0	0	0	0	0	0
ENSG00000241354	RP11-1042B17.2	1	0	3	2	2	0
ENSG00000241356	OR5G3	0	0	0	0	0	0
ENSG00000241357	RP11-758P17.2	15	3	4	5	3	2
ENSG00000241358	RP11-758I14.3	1	2	0	1	0	1
ENSG00000241359	SYNPR-AS1	0	0	0	1	1	2
ENSG00000241360	PDXP	2	0	1	1	2	2
ENSG00000241361	SLC25A24P1	1	0	3	2	2	2
ENSG00000241362	RPL36AP43	6	5	12	6	5	7
ENSG00000241367	RPL7AP23	1	0	4	0	0	0
ENSG00000241369	LINC01192	3	0	3	6	2	6
ENSG00000241370	RPP21	0	0	0	0	0	0
ENSG00000241383	RP11-152C17.1	0	0	0	0	0	2
ENSG00000241385	RP11-25D10.1	0	0	0	0	0	0
ENSG00000241388	HNF1A-AS1	0	0	0	1	0	0
ENSG00000241391	RN7SL234P	0	0	0	1	1	5
ENSG00000241392	RN7SL205P	0	0	0	0	0	0
ENSG00000241395	RN7SL344P	2	2	0	4	1	5
ENSG00000241397	LINC00903	2	0	1	0	0	2
ENSG00000241399	CD302	1132	808	471	659	830	479
ENSG00000241400	RP11-764I5.1	2	2	0	1	3	1
ENSG00000241404	EGFL8	0	0	0	0	0	0
ENSG00000241406	RN7SL515P	0	0	0	0	2	0
ENSG00000241409	AC064852.4	7	2	3	6	7	3
ENSG00000241411	RP11-192C21.1	0	0	0	0	0	1
ENSG00000241413	RN7SL441P	2	0	0	1	2	1
ENSG00000241416	KRT8P13	0	0	0	0	0	0
ENSG00000241418	MCRIP2P1	1	0	1	0	1	0
ENSG00000241420	RN7SL505P	3	4	0	0	2	3
ENSG00000241423	RPL21P103	0	0	1	0	0	0
ENSG00000241429	EEF1A1P25	2	0	1	1	1	3
ENSG00000241431	RPL37P6	8	5	6	6	10	2
ENSG00000241434	CTD-2224J9.4	0	0	0	0	0	0
ENSG00000241438	TDGF1P6	0	0	0	0	1	0
ENSG00000241439	RP11-666A20.3	0	0	0	0	0	0
ENSG00000241449	RP11-545G3.1	2	0	0	1	2	0
ENSG00000241451	RPS27P22	0	2	0	1	2	0
ENSG00000241456	RP4-555L14.4	0	0	0	0	0	0
ENSG00000241457	PLSCR5-AS1	1	0	0	0	1	0
ENSG00000241458	RPL7P19	21	9	4	16	12	9
ENSG00000241461	RN7SL182P	0	0	0	0	0	0
ENSG00000241462	RP11-579O24.1	4	2	1	2	0	0
ENSG00000241464	RPL39P38	1	0	0	0	0	0
ENSG00000241468	ATP5J2	1320	1193	718	819	1366	1122
ENSG00000241469	LINC00635	3	2	1	1	1	7
ENSG00000241472	PTPRG-AS1	95	90	54	46	67	54
ENSG00000241473	RP11-259P15.3	0	0	0	0	0	0
ENSG00000241475	RP4-781K5.5	0	0	0	1	4	1
ENSG00000241476	SSX2	8	7	6	4	15	7
ENSG00000241478	HSPA8P9	15	19	11	15	14	13
ENSG00000241479	RP11-641D5.2	0	0	0	1	0	5
ENSG00000241484	ARHGAP8	0	0	1	0	1	1
ENSG00000241487	RN7SL586P	0	0	0	0	0	1
ENSG00000241489	AF011889.5	2	1	0	0	3	0
ENSG00000241490	RP11-553L6.2	0	0	0	0	1	2
ENSG00000241493	RP11-274B21.5	0	0	0	0	0	0
ENSG00000241494	RP11-796G6.1	214	229	122	156	206	328
ENSG00000241499	RP11-85G20.2	0	0	0	0	0	0
ENSG00000241505	RP11-161I10.1	0	0	0	0	2	0
ENSG00000241506	PSMC1P1	1116	684	422	669	749	617
ENSG00000241511	RPS15AP24	8	9	6	8	6	3
ENSG00000241520	AC098820.4	0	0	0	0	0	0
ENSG00000241524	RN7SL632P	0	0	0	0	0	0
ENSG00000241525	AC108004.3	1	3	1	3	1	0
ENSG00000241526	RP11-144C9.1	0	0	0	0	0	1
ENSG00000241527	CA15P1	4	0	3	0	4	2
ENSG00000241529	RN7SL767P	42	41	28	32	20	62
ENSG00000241532	AGGF1P3	6	5	5	2	0	11
ENSG00000241535	CBX5P1	7	4	2	6	9	1
ENSG00000241537	RP11-624D20.1	7	0	1	2	2	2
ENSG00000241539	RP11-740N7.4	0	0	0	0	0	0
ENSG00000241542	RN7SL369P	0	0	0	1	0	1
ENSG00000241544	RP11-6F2.5	0	0	1	0	1	1
ENSG00000241546	RP11-767L7.2	1	0	0	0	0	0
ENSG00000241547	ACTG1P20	5	0	2	2	4	1
ENSG00000241549	GUSBP2	133	88	56	74	119	61
ENSG00000241550	RN7SL41P	0	0	0	0	0	0
ENSG00000241552	RN7SL58P	0	0	0	0	0	0
ENSG00000241553	ARPC4	752	428	269	391	606	404
ENSG00000241556	RP11-490G8.1	102	58	40	44	42	23
ENSG00000241560	ZBTB20-AS1	2	1	1	0	2	4
ENSG00000241562	RPL7P5	1	0	1	0	0	0
ENSG00000241563	CORT	5	6	0	2	1	0
ENSG00000241566	IGKV2D-24	0	1	0	0	0	0
ENSG00000241568	RN7SL338P	1	1	0	0	0	2
ENSG00000241570	PAQR9-AS1	4	2	1	3	5	5
ENSG00000241571	ATP5A1P7	0	2	0	0	0	0
ENSG00000241572	PRICKLE2-AS1	0	0	0	0	0	0
ENSG00000241573	RP11-286H14.1	0	0	2	0	0	0
ENSG00000241577	RP11-523O18.7	0	0	0	0	0	0
ENSG00000241582	RPL23AP8	0	1	2	2	0	0
ENSG00000241587	RN7SL482P	0	0	0	0	0	0
ENSG00000241588	RN7SL484P	0	0	0	0	0	0
ENSG00000241590	RPL17P37	1	0	0	0	1	0
ENSG00000241592	RP11-372E1.7	0	0	0	0	0	0
ENSG00000241593	RP11-520D19.2	1	0	0	3	1	0
ENSG00000241595	KRTAP9-4	0	0	0	0	0	0
ENSG00000241596	RP11-326J18.1	0	0	0	0	0	0
ENSG00000241597	CTD-2007H13.1	6	2	1	1	3	6
ENSG00000241598	KRTAP5-4	0	0	0	0	0	0
ENSG00000241599	RP11-34P13.9	0	0	0	0	0	0
ENSG00000241604	RN7SL340P	0	0	0	0	0	0
ENSG00000241607	RP11-357K9.2	0	0	0	0	0	0
ENSG00000241612	RP13-585F24.1	10	11	3	3	6	14
ENSG00000241613	RN7SL618P	0	0	0	0	0	0
ENSG00000241621	GOLGA2P6	0	0	0	0	1	0
ENSG00000241622	RARRES2P1	0	0	0	0	0	0
ENSG00000241625	RN7SL18P	0	0	0	0	0	0
ENSG00000241627	UBQLN4P1	87	36	27	45	60	34
ENSG00000241631	RN7SL316P	6	6	1	0	0	0
ENSG00000241634	RP11-381E24.1	111	85	53	61	110	52
ENSG00000241635	UGT1A1	1	0	0	1	0	1
ENSG00000241636	LINC01323	2	1	0	1	0	2
ENSG00000241640	RP11-59H7.1	0	0	0	0	0	0
ENSG00000241641	RPS23P6	1	0	0	0	0	4
ENSG00000241644	INMT	2	4	1	2	5	2
ENSG00000241648	CADM2-AS2	2	0	0	1	1	0
ENSG00000241651	RP11-214O14.1	0	0	0	0	0	0
ENSG00000241652	RN7SL253P	0	0	1	0	0	0
ENSG00000241654	RPL19P18	0	0	0	0	0	0
ENSG00000241656	UBA52P7	0	0	1	0	0	0
ENSG00000241657	TRBV11-2	0	0	0	0	0	0
ENSG00000241661	PPP1R2P6	0	3	0	0	0	0
ENSG00000241665	RN7SL418P	0	0	0	0	0	0
ENSG00000241666	RP3-455J7.4	0	1	3	0	0	0
ENSG00000241667	RP11-444P10.1	0	0	0	0	1	0
ENSG00000241668	RPL19P11	0	0	1	1	0	0
ENSG00000241669	LINC01327	1	0	0	0	0	1
ENSG00000241671	RP11-529G21.3	1	0	1	0	3	2
ENSG00000241673	RPS27P12	0	0	0	0	0	1
ENSG00000241678	RP11-732A19.1	1	0	0	0	1	0
ENSG00000241679	RP11-80H8.4	2	1	1	1	1	2
ENSG00000241680	RPL31P49	7	13	7	4	9	3
ENSG00000241684	ADAMTS9-AS2	4	0	2	2	2	7
ENSG00000241685	ARPC1A	10666	6943	4351	6393	8494	4899
ENSG00000241690	RP5-860F19.8	0	0	0	0	0	0
ENSG00000241693	RN7SL704P	1	1	0	0	1	1
ENSG00000241695	GM2AP1	0	0	0	0	0	0
ENSG00000241696	RP11-420J11.2	1	0	0	0	0	2
ENSG00000241697	TMEFF1	1	0	0	0	1	0
ENSG00000241709	RN7SL265P	2	0	0	0	0	0
ENSG00000241717	VWFP1	0	0	0	0	1	1
ENSG00000241720	RP4-735C1.4	0	0	0	0	1	0
ENSG00000241721	SUMO1P1	0	0	0	0	1	0
ENSG00000241722	RP11-255I10.1	0	0	0	1	0	1
ENSG00000241723	RP11-113A11.1	0	0	0	0	0	0
ENSG00000241728	AP001062.8	0	0	0	0	0	0
ENSG00000241735	FABP5P3	6	11	4	12	8	22
ENSG00000241738	ZNF90P1	2	0	0	0	3	3
ENSG00000241739	CTD-2290C23.2	2	0	0	0	1	0
ENSG00000241741	RPL7AP30	22	25	16	23	25	39
ENSG00000241743	XACT	0	0	0	0	0	0
ENSG00000241744	RP11-399D15.1	0	0	0	0	0	0
ENSG00000241745	RN7SL788P	6	2	0	1	1	1
ENSG00000241746	RP11-941H19.1	1	1	3	1	5	11
ENSG00000241749	RPSAP52	11	11	5	12	16	14
ENSG00000241754	RP11-280H21.1	1	0	1	0	0	1
ENSG00000241755	IGKV1-9	0	0	0	0	0	0
ENSG00000241756	RN7SL83P	0	0	0	1	0	0
ENSG00000241757	RN7SL714P	0	0	0	0	0	0
ENSG00000241764	AC002467.7	98	44	25	44	70	43
ENSG00000241765	RPS26P45	0	0	0	0	2	1
ENSG00000241767	LINC01324	0	0	1	0	0	1
ENSG00000241769	LINC00893	14	5	4	9	7	6
