id	sym	NKX2_positive_1	NKX2_positive_2	NKX2_positive_3	NKX2_negative_1	NKX2_negative_2	NKX2_negative_3
ENSMUSG00000071632	2510002D24Rik	163.31	169.51	222.6	270.34	239	48.87
ENSMUSG00000071633	Gm4952	0	1	2	6	5	1
ENSMUSG00000071636	Rimbp3	2	2	0	0	3	4
ENSMUSG00000071637	Cebpd	1730.2	2069	1820	581	624.01	120
ENSMUSG00000071640	Stxbp3-ps	0	0	0	0	0	0
ENSMUSG00000071644	Eef1g	9081.47	6211.03	8132.11	9179.28	8951	1655.95
ENSMUSG00000071645	Tut1	350	235	181	282	304	48
ENSMUSG00000071646	Mta2	2328.99	1265.16	1491.02	1886.06	1753.62	353.72
ENSMUSG00000071647	Eml3	623	316.02	355.02	688	612.94	107.41
ENSMUSG00000071648	Rom1	87	42	38	62	58	3
ENSMUSG00000071649	B3gat3	700.86	428	494.69	516.21	514	110
ENSMUSG00000071650	Ganab	3462	2275.09	2722	2626.21	2398.49	471.97
ENSMUSG00000071652	Ints5	249.06	138.02	120	229	219.22	35.47
ENSMUSG00000071653	1810009A15Rik	171.48	153.46	192.34	174.13	187.97	25.6
ENSMUSG00000071654	Uqcc3	269	303	302	254	294	50
ENSMUSG00000071655	Ubxn1	1414.99	1072.01	1091	1800.37	1985.88	379
ENSMUSG00000071656	Lrrn4cl	45.89	62.51	46.65	41.22	10.75	6.66
ENSMUSG00000071657	Bscl2	785.1	614.64	575.28	507.41	514.28	112.22
ENSMUSG00000071658	Gng3	1	2	0	0	0	1
ENSMUSG00000071659	Hnrnpul2	1841.12	1038.01	1026.98	1705.99	1738.59	386
ENSMUSG00000071660	Ttc9c	649.55	620.12	697.06	696.65	595.46	133.31
ENSMUSG00000071661	Zbtb3	12	6	15	12	8	2
ENSMUSG00000071662	Polr2g	623	475	606	416.99	416	67
ENSMUSG00000071669	Snx29	579	798.76	417	246.93	232.99	62
ENSMUSG00000071671	Gm10343	18.4	16.4	12.85	5.17	14.58	11.72
ENSMUSG00000071691	Gm960	2	4	8	1	0	0
ENSMUSG00000071711	Mpst	532	302	357	400	434	73
ENSMUSG00000071713	Csf2rb	2776.75	82.53	66.82	187.17	13.92	14.77
ENSMUSG00000071714	Csf2rb2	522.07	41.56	30.46	64	16.27	9.51
ENSMUSG00000071715	Ncf4	297.3	13	8	44	6	1
ENSMUSG00000071716	Apol7e	18.19	0	0	19.65	0	0
ENSMUSG00000071724	Smpd5	29	12	15	9	16	3
ENSMUSG00000071749	4933412E24Rik	0	0	0	0	0	0
ENSMUSG00000071750	Gm7713	0	0	0	0	0	0
ENSMUSG00000071757	Zhx2	404	184	212	334	300	69
ENSMUSG00000071793	2610005L07Rik	1097.39	1297.3	1125.02	782.69	928.09	210.73
ENSMUSG00000071796	6820431F20Rik	1331.82	1892.77	1820.81	1076.98	1357.86	302.6
ENSMUSG00000071818	4930417O22Rik	1	4	3.14	6.91	0	1.86
ENSMUSG00000071847	Apcdd1	9	9	0	2	1	1
ENSMUSG00000071855	Ccdc112	36	56	59	56	39	6
ENSMUSG00000071856	Mcc	193.57	108.05	41.67	224.04	198.7	50.66
ENSMUSG00000071858	Gm94	2	1	2	3	2	1
ENSMUSG00000071860	2900055J20Rik	0	0	0	0	0	0
ENSMUSG00000071862	Lrrtm2	0	1	0	0	0	4
ENSMUSG00000071866	Ppia	12160.21	10784.52	14794.34	10049.63	11669.06	1934.03
ENSMUSG00000071867	Gm6304	0	0	0	0.04	0	0
ENSMUSG00000071890	Mroh9	0	0	0	0	0	0
ENSMUSG00000071893	Vmn1r4	6.89	7.75	9	9.7	10.03	3
ENSMUSG00000071909	Nutm2	0	0	0	1	0	0
ENSMUSG00000071937	Adam25	0	0	0	0	0	0.99
ENSMUSG00000071952	Gm10351	0	0	0	0	0	0
ENSMUSG00000071984	Fndc1	22.07	3.77	3.02	4	1	6.26
ENSMUSG00000072066	6720489N17Rik	121.17	56.07	73.65	63.56	67.26	19.07
ENSMUSG00000072068	Gm16261	0	0	3.01	0	0	0
ENSMUSG00000072082	Ccnf	84	29	50	44	27	7
ENSMUSG00000072109	A530040E14Rik	22.57	0	14.43	6.86	0	18.09
ENSMUSG00000072115	Ang	535.2	1086.56	1152.56	681.52	745.13	111
ENSMUSG00000072145	BC061237	0	0	0	0	0	2.41
ENSMUSG00000072188	Gm10354	1.88	0	0	0	0	0
ENSMUSG00000072214	Sept5	35.6	6.61	12	164.75	169.01	12
ENSMUSG00000072235	Tuba1a	2038.22	345	738.44	211.49	183.78	45.98
ENSMUSG00000072244	Trim6	31.07	21.41	22.48	119.91	166.4	24.48
ENSMUSG00000072255	Rpl31-ps17	0	0	0	0	0	0
ENSMUSG00000072258	Taf1a	160.75	142.3	136.22	130.89	110.77	36.47
ENSMUSG00000072259	Gm5592	0	0	0	0	0	1.01
ENSMUSG00000072294	Klf12	6	1	3	1	0	1
ENSMUSG00000072295	Als2cr11	0	0	0	0	1	0
ENSMUSG00000072324	Gm8420	381.07	299.18	432.75	407.08	357.36	71.53
ENSMUSG00000072381	Gm10355	5.88	0	4.2	0	18.72	3.15
ENSMUSG00000072387	Gm10356	0	9.82	23.49	25.56	0	0
ENSMUSG00000072407	Gm6419	0	0	0	0	0	0
ENSMUSG00000072419	Dppa2	0	1.21	1.38	6.08	1.82	0
ENSMUSG00000072421	Gm10357	10.58	13.72	2.57	11.13	0	0
ENSMUSG00000072423	Psmb11	78.11	140.73	123.59	85.95	84.36	35.4
ENSMUSG00000072437	Nanos1	233	301	232	50	27	18
ENSMUSG00000072460	Atp5l-ps1	0	0	0	0	0	0
ENSMUSG00000072473	1700024G13Rik	5	0	2	0	0	0
ENSMUSG00000072476	Gm9008	0	13.03	15	0	0	0
ENSMUSG00000072477	Gm10360	0	0	0	0	0	0
ENSMUSG00000072487	Mroh5	0	0	0	0	0	1
ENSMUSG00000072492	Gm10364	1.93	5.02	2.22	2.22	1.13	0
ENSMUSG00000072494	Ppp1r3e	18	6	7	7	7	8
ENSMUSG00000072501	Phf20l1	2705.7	2707.03	3132.11	1794.85	1638.88	395.24
ENSMUSG00000072511	Hhla1	2	0	0	0	0	0
ENSMUSG00000072541	Gm5046	0	0	0	0	0	0
ENSMUSG00000072553	Gm525	2	0	0	0	0	0
ENSMUSG00000072568	Fam84b	3242.76	2912.09	3388.96	2578.83	2166.09	557.04
ENSMUSG00000072571	Tmem253	3	4	3	16	9	1
ENSMUSG00000072572	Slc39a2	816.02	35	17.98	40	5	5
ENSMUSG00000072573	Gm10369	3	5.03	4.99	0	0	2.05
ENSMUSG00000072574	Gm17184	0	0	0	0	0	0
ENSMUSG00000072575	Eddm3b	2	5	3	0	4	1
ENSMUSG00000072576	Gm16020	0	0	0	0	0	0
ENSMUSG00000072582	Ptrh2	238.19	274.77	298	265	257.01	29.71
ENSMUSG00000072584	Gm7489	0	0	0	0	0	0
ENSMUSG00000072589	Gm10371	1	0	1	3	1.08	1.01
ENSMUSG00000072591	5930412G12Rik	1	2.17	4.57	2.99	0.17	0
ENSMUSG00000072592	Gm10373	0	0	0	0	0	0
ENSMUSG00000072594	Gm16439	0	0	0	0	0	0
ENSMUSG00000072595	4930503E14Rik	0	0	0	0	0	0
ENSMUSG00000072596	Ear2	7996.72	912.17	336.17	317.64	12	65.71
ENSMUSG00000072598	Ang6	0	0	0	0	0	0
ENSMUSG00000072599	Ear-ps2	0	0	0	0	0	0
ENSMUSG00000072600	Ear-ps9	0	0	0	0	0	0
ENSMUSG00000072601	Ear1	1165.4	80.83	67.83	18.36	0	2.29
ENSMUSG00000072605	Gm10376	0	0	0	0	0	0
ENSMUSG00000072612	Gm10382	4	11	14	14	10	2
ENSMUSG00000072616	Gm7853	0	0	0	0	0	0
ENSMUSG00000072618	Gm10384	0	1	1	11	13	5
ENSMUSG00000072620	Slfn2	1587.92	156.98	129.36	838.76	566.86	105.69
ENSMUSG00000072621	Slfn10-ps	43.23	23.75	18.3	79.83	63.14	9.85
ENSMUSG00000072623	Zfp9	106.1	127.88	154.29	49	35.73	19.16
ENSMUSG00000072624	Gm5460	13.31	45.45	20.91	33.3	31.25	17.78
ENSMUSG00000072625	Gdf2	0	0	0	2	0	0
ENSMUSG00000072640	Lyrm9	75.92	70.91	85.94	78.46	91.5	26.69
ENSMUSG00000072647	Adam1a	39.52	26.82	36.24	24.43	18.52	4.26
ENSMUSG00000072653	Zfp783	53.93	65.5	59.44	53.61	37.35	38.35
ENSMUSG00000072660	Gm6288	8	4	9	14	9	0
ENSMUSG00000072662	Mansc4	0	0	0	1	1	0
ENSMUSG00000072663	Spef2	80	19	59	6	1	4
ENSMUSG00000072664	Ugt3a1	0	0	4.9	6	3	10.4
ENSMUSG00000072672	Duxbl3	0.67	2	0.33	0	0	0
ENSMUSG00000072673	Gm10392	1	3	2	0	0	0
ENSMUSG00000072674	Plac9b	36.4	4	9	24	35	4.78
ENSMUSG00000072675	Duxbl2	0.67	0	1.49	0	0	1
ENSMUSG00000072676	Tmem254a	38.5	22.44	34.69	20.73	16.56	2.96
ENSMUSG00000072677	Sox5it	2	1	3	0	0	0
ENSMUSG00000072679	D6Ertd474e	0	1	1	0	1	1
ENSMUSG00000072680	Tmem254c	340.58	385.93	496.12	406.62	514.04	108.59
ENSMUSG00000072683	Gm7457	1.03	2.9	0	1.01	0.51	3.14
ENSMUSG00000072686	Gm10398	0	0	0	0	0	0
ENSMUSG00000072688	Gm10399	6	4	2	2	3	1
ENSMUSG00000072692	Rpl37rt	2235.62	1965.48	2396.45	2971.49	2798.85	473.98
ENSMUSG00000072693	Gm10401	0	1	0	0	0	0
ENSMUSG00000072694	1500011B03Rik	125.4	134.75	119.74	113.65	222.77	36
ENSMUSG00000072704	Smim10l1	1717.28	1504.82	1930.55	1457.4	1563.43	304
ENSMUSG00000072707	Olfr31	0	0	0	0	0	0
ENSMUSG00000072708	Olfr381	0	0	0	0	0	0
ENSMUSG00000072709	Olfr380	0	0	1	0	0	0
ENSMUSG00000072714	Rpl21-ps4	0	0	0	0	0	0
ENSMUSG00000072717	Klra11-ps	0	0	0	0	0	0
ENSMUSG00000072718	Klra10	63.52	9.23	5	5.81	0	1.54
ENSMUSG00000072720	Myo18b	18	1	4	7	2	1
ENSMUSG00000072721	Klra14-ps	0	0	0	0	0	2.02
ENSMUSG00000072722	Gm6588	0	0	0	0	0	1
ENSMUSG00000072723	Gm10044	8	2	0	6	4	1
ENSMUSG00000072726	Gm5797	0	0	0	0	0	0
ENSMUSG00000072731	Gm3715	0	0	0	0	0	0
ENSMUSG00000072738	Gm16440	0	0	0	0	0	1.42
ENSMUSG00000072739	Gm10408	0	0	0	0	0	0
ENSMUSG00000072753	9230020A06Rik	0	0	0	0	0	0
ENSMUSG00000072754	Lrcol1	2	4	2	0	0	0
ENSMUSG00000072761	Gm6712	89.31	94.31	95.09	55.59	87.6	26.52
ENSMUSG00000072762	4930522L14Rik	177.32	254.84	248.55	136.26	142.6	51.25
ENSMUSG00000072763	5430403G16Rik	148.83	211.79	225.71	114.57	116.41	34.32
ENSMUSG00000072768	Gm10418	0	0	0	1	3	0
ENSMUSG00000072769	Gm10419	1	2.35	1	1	0	2.92
ENSMUSG00000072770	Acrbp	71.03	29.81	28.68	60.68	56.98	26.47
ENSMUSG00000072772	Grcc10	941.8	1075.6	1203.7	937.03	1074.99	179.76
ENSMUSG00000072774	Zfp951	173.9	250.52	176.11	103.09	155.6	51.36
ENSMUSG00000072778	Vmn2r27	0	0	0	0	0	0
ENSMUSG00000072780	Vmn2r24	0	0	0	0	0	0
ENSMUSG00000072789	Gm10420	0	0	0	0	0	0
ENSMUSG00000072791	Abcb5	0	0	0	2.99	0	0
ENSMUSG00000072809	9330160F10Rik	21.21	19.5	34.29	17.35	17.53	9.22
ENSMUSG00000072812	Ahnak2	2368	258	118	473	321	44
ENSMUSG00000072813	E330014E10Rik	0	0	0	0	0	0
ENSMUSG00000072814	Gm7982	0	0	0	0	0	0
ENSMUSG00000072821	Gm6351	0	0	0	0	0	0
ENSMUSG00000072822	BC061212	0	0	0	0	0	0.98
ENSMUSG00000072825	Cep170b	2874.26	1095.8	964.25	2806.04	2754.81	558.66
ENSMUSG00000072834	Gm12298	0	0	0	0	1	0
ENSMUSG00000072837	Mir546	3.74	0	0	0	0	0
ENSMUSG00000072845	Tmprss11a	22.73	67.88	39.66	29.9	11.78	21.19
ENSMUSG00000072847	A530017D24Rik	90.36	83.8	74.54	66.37	71.71	15.73
ENSMUSG00000072849	Serpina1e	0	0	0	0	0	1
ENSMUSG00000072852	2310040G07Rik	7	6	7	6	0	2
ENSMUSG00000072872	Rybp	1400	1243.25	1130	1077.97	842	164
ENSMUSG00000072874	Gm6116	17	0	0	0	0	1
ENSMUSG00000072875	Gpr27	0	0	1	0	1	2
ENSMUSG00000072878	1700123L14Rik	0	0	0	0	0	0
ENSMUSG00000072884	Gm10433	6.73	13.33	33.36	18.5	14.85	2.14
ENSMUSG00000072889	Nfxl1	504.96	724.99	838.35	369.07	269.01	62
ENSMUSG00000072893	4933439C10Rik	102.74	117.45	113.84	114.02	98.22	31.89
ENSMUSG00000072898	Gm10434	0	4	7	2	5	0
ENSMUSG00000072900	Mir540	0	0	0	0	0	0
ENSMUSG00000072902	Gm10435	11	4	2	6	0	0
ENSMUSG00000072905	Gm2016	0	0	0	0	2.16	0
ENSMUSG00000072915	Gm12258	48.18	54.09	86.23	17.02	28.35	3.07
ENSMUSG00000072919	Noxred1	4	5	5	4	5	0
ENSMUSG00000072940	Gm10443	165.57	225.06	155.94	56.11	0	93
ENSMUSG00000072941	Sod3	69.88	14	14.05	3.64	4	5
ENSMUSG00000072946	Ptgr2	842.9	774.99	918.8	1074.69	1092.25	213.84
ENSMUSG00000072949	Acot1	933.79	492.13	239.25	269.35	136.45	46.34
ENSMUSG00000072950	Gm10444	0	1	0	0	0	0
ENSMUSG00000072952	Gm5878	8	10.02	0	4	1	0
ENSMUSG00000072962	Gm16401	0	0	0	3	7	0
ENSMUSG00000072963	Gm10447	8.79	24.04	3.91	6.64	5.23	2.59
ENSMUSG00000072968	Gm17728	0	0	2.42	1	0	0
ENSMUSG00000072972	Adam4	26.04	49.76	67.1	26.65	26.69	11.99
ENSMUSG00000072974	Gm4787	12.96	40.24	51.9	41.35	23.31	10
ENSMUSG00000072978	Gm5830	0	0	0	0	0	0
ENSMUSG00000072980	Oip5	30.19	12.22	35.17	24.67	22.95	9.13
ENSMUSG00000072982	9230009I02Rik	0	0	0	0	0	0
ENSMUSG00000072983	4933414I15Rik	0	0	0	0	0	1
ENSMUSG00000072999	Gm15401	62.15	183.59	112.22	44.95	45.5	6.02
ENSMUSG00000073000	Gm10451	6.74	6.6	13.8	41.62	43.7	7.82
ENSMUSG00000073002	Vamp5	259.19	241.05	278.25	229.39	251.27	49.16
ENSMUSG00000073018	Gm1070	1	6	2	0	2	1
ENSMUSG00000073028	Igkv4-71	0	0	0	0	0	0
ENSMUSG00000073043	Atoh1	0	0	0	0	0	0
ENSMUSG00000073045	Gm5570	1.35	1.16	8.63	2.27	6.15	10.79
ENSMUSG00000073052	D130052B06Rik	0	3.56	0	0	1.27	2.94
ENSMUSG00000073063	Hbq1b	0	0	0	0	0	0
ENSMUSG00000073067	9130019P16Rik	2	0	4	1	0	1
ENSMUSG00000073073	Gm8098	9	0	14	0	1	0
ENSMUSG00000073079	Srp54a	1843.62	2438.19	2565.84	905.66	986.79	189.78
ENSMUSG00000073096	Lrrc61	80.03	73.91	66.1	71.15	124.21	8.65
ENSMUSG00000073102	Drc1	77.01	13.19	56.83	20.3	16.95	5
ENSMUSG00000073103	Gm10466	0	0	0	0	0	1
ENSMUSG00000073110	Olfr444	0	0	0	0	0	0
ENSMUSG00000073111	Olfr446	0	0	0	0	0	0
ENSMUSG00000073116	Gm10471	0	0	0	0	0	0
ENSMUSG00000073117	Gm7347	0	0	0	0	0	0
ENSMUSG00000073119	Speer4a	0	0	0	0	0	3.29
ENSMUSG00000073144	4930599N23Rik	12	3	2	1	2	0
ENSMUSG00000073145	Gm12000	0	0	0	0	0	1
ENSMUSG00000073147	5031425E22Rik	445.34	527.45	539.16	345.05	286.37	56.16
ENSMUSG00000073152	Gm10475	1	0	0	0	0	1
ENSMUSG00000073154	9330158H04Rik	2.38	12.43	9.45	4.89	6.61	5.35
ENSMUSG00000073155	1810058I24Rik	237.02	222.95	188.35	157.23	126.05	29
ENSMUSG00000073158	9030624G23Rik	26.59	23.19	36.14	59.95	43.88	8.48
ENSMUSG00000073164	2410018L13Rik	97.88	76.43	43	112.23	134.97	31.98
ENSMUSG00000073174	Gm29254	0	0	0	0	0	1
ENSMUSG00000073179	Gm10478	9.02	4	11.41	5.58	7.91	2.79
ENSMUSG00000073184	Gm10479	2.25	2.93	4.08	10.64	19.46	3.07
ENSMUSG00000073197	5730507C01Rik	167.79	72.6	86.79	149.6	192.36	41.58
ENSMUSG00000073198	Bnip3l-ps	0	0	0	0	0	0
ENSMUSG00000073208	Speer4c	28.63	0	0	0	1	0
ENSMUSG00000073209	Klf14	0	0	1	0	0	0
ENSMUSG00000073226	Gm10482	3.81	2.88	1.64	1.41	1.6	14.08
ENSMUSG00000073233	Gm9144	0	0	0	0	0	0
ENSMUSG00000073234	Gm8773	4.33	0	3.36	1	0	1
ENSMUSG00000073236	2500004C02Rik	69.29	76.16	91.67	71.44	65.53	12.48
ENSMUSG00000073242	Dnmt3aos	1.61	0.48	0	1.04	1	0
ENSMUSG00000073367	Gm10493	0	0	0	0	0	0
ENSMUSG00000073371	Gm6594	1.57	1.64	8.16	14.93	1.4	1.82
ENSMUSG00000073374	C030034I22Rik	16.73	18.14	21	17	22.03	5
ENSMUSG00000073375	Lrrc30	0	0	0	0	0	1
ENSMUSG00000073377	AU016765	0	0	0	0	0	1
ENSMUSG00000073380	Arrdc5	1	0	0	0	0	0
ENSMUSG00000073386	9830107B12Rik	22.17	21.09	14.93	10.78	9.09	3.01
ENSMUSG00000073394	Runx2os1	15	1	2	3	0	0
ENSMUSG00000073396	Esp1	0	0	0	0	0	0
ENSMUSG00000073399	Trim40	2	0	2	61	57	8
ENSMUSG00000073400	Trim10	8	4	3	11	7	0
ENSMUSG00000073402	Gm8909	11.68	8.18	9.48	12.9	15.25	64.39
ENSMUSG00000073403	Gm10499	30.22	36.16	13.19	70.56	92.62	47.78
ENSMUSG00000073405	C920025E04Rik	5.63	4.04	5.94	1.51	4.3	4.48
ENSMUSG00000073406	H2-Bl	23.79	27.22	19.76	43.75	24.37	22.27
ENSMUSG00000073407	Gm6034	1.14	2.51	3.14	1	0	1
ENSMUSG00000073408	Dpcr1	62.85	32.31	47.61	8391.84	12185.11	2480.57
ENSMUSG00000073409	H2-Q6	433.01	224.4	338.36	370.58	220.11	41.64
ENSMUSG00000073411	H2-D1	20239.4	8697.25	9462.45	10939.58	11681.68	2292.42
ENSMUSG00000073412	Lst1	64	5	5	11	7	3
ENSMUSG00000073413	Ly6g6d	60	75	110	57	44	11
ENSMUSG00000073414	G6b	2	3	4	2	3	4
ENSMUSG00000073415	Gm10501	137.99	116	28	98	61.4	11
ENSMUSG00000073418	C4b	3733.25	726.4	92.35	546.66	248.4	76.06
ENSMUSG00000073420	Btnl5-ps	2	0	0	316.03	460.99	55.16
ENSMUSG00000073421	H2-Ab1	10586.33	8124.29	12267.81	3125.72	2563.52	677.26
ENSMUSG00000073422	H2-Ke6	616.92	636.87	596.06	490	497.26	74
ENSMUSG00000073423	Zfp414	65	43.24	65.89	67.06	60	9
ENSMUSG00000073424	Cyp4f15	0	0	0	40.22	50.06	9
ENSMUSG00000073427	Gm4924	58.02	94.08	112.12	93.38	115.41	33.85
ENSMUSG00000073430	Gm10505	0	0	0	0	0	1
ENSMUSG00000073434	Wdr90	328.55	163.33	157.59	135	111.2	27
ENSMUSG00000073435	Nme3	287.18	321.51	383.72	243.27	287.33	30
ENSMUSG00000073436	Eme2	383.39	272.7	283	230.98	159.41	37
ENSMUSG00000073437	D330041H03Rik	43.1	65.39	53.93	41.64	40.66	4.94
ENSMUSG00000073448	Gm10509	11.93	10.2	17.85	1.47	6.94	4.29
ENSMUSG00000073457	Smok2b	1.73	5.93	0	0	0	3
ENSMUSG00000073458	Smok2a	0	0	0	0	0	0
ENSMUSG00000073460	Pnldc1	2	6	1	0	0	1
ENSMUSG00000073468	Sft2d1	473.74	272.57	284.82	691.09	684.89	122
ENSMUSG00000073471	Rsph3a	262.54	287	301.99	131.66	211.67	63.48
ENSMUSG00000073478	D730003I15Rik	36.42	45.38	48.12	37.96	25.04	12.93
ENSMUSG00000073481	Marc2	1491.21	1478.78	1445.72	1908.64	2040.37	348.14
ENSMUSG00000073482	Gm10517	3	1	4	11	22	2
ENSMUSG00000073485	H3f3aos	25.42	29.54	44.57	14.35	8.87	10.35
ENSMUSG00000073486	Gm10518	0	1	1	1	0	0
ENSMUSG00000073489	Ifi204	253.41	34.89	16.05	231.52	224.24	33.14
ENSMUSG00000073490	AI607873	390.09	11.8	9.48	37.92	15.91	7.44
ENSMUSG00000073491	Pydc4	16.48	37.58	8.41	11.56	11.84	13.88
ENSMUSG00000073492	Gm10521	14.33	10.16	4.45	8.1	1.09	2.66
ENSMUSG00000073494	Sh2d1b2	5.1	1.91	0	0.5	1	1
ENSMUSG00000073497	AA792892	1.79	4.11	5.33	0	0.69	5.29
ENSMUSG00000073510	Gm7647	0	0	0	0	0	2.29
ENSMUSG00000073514	Dok6	5.19	6.51	8.56	8.07	2.51	23.65
ENSMUSG00000073528	Gm10530	0	0	0	0	0	0
ENSMUSG00000073529	F830208F22Rik	7	0	1	2	0	1
ENSMUSG00000073530	Pappa2	10.15	5	1	3.71	3	4.07
ENSMUSG00000073532	Gm7276	0	0	0	0	0	1
ENSMUSG00000073535	Gm5532	0	0	1.99	0	1	2
ENSMUSG00000073538	E330020D12Rik	32.55	44.1	30.2	56.58	65.24	31.23
ENSMUSG00000073542	Cep76	218.64	174.96	256.89	195.41	152	32.16
ENSMUSG00000073551	Spink13	0	0	0	0	0	0
ENSMUSG00000073554	Gm6960	0	2.06	0	0	0	0
ENSMUSG00000073555	Gm4951	120.88	69.31	89.99	23.88	27.12	6.57
ENSMUSG00000073557	Ppp1r12b	830.16	719.99	640.9	597.92	490.72	127.48
ENSMUSG00000073559	Gm8618	0	0	0	0	0	0
ENSMUSG00000073563	Csnk1g3	724.73	581.79	556	648.61	790.83	130
ENSMUSG00000073565	Prr16	6	25	12	9	7	0
ENSMUSG00000073568	Arl14epl	0	3.95	0	0	0.94	2.98
ENSMUSG00000073569	Gm10540	0	0	0	0	0	0
ENSMUSG00000073572	Gm10542	0	0	0	0	0	0
ENSMUSG00000073573	Spink11	0	0	0	0	0	1
ENSMUSG00000073574	Grxcr2	0	0	0	0	0	0
ENSMUSG00000073590	3222401L13Rik	93.95	127.41	103.76	52	96.2	24.8
ENSMUSG00000073591	Pcdhb22	75.66	80.65	61.01	90.98	78.64	38.02
ENSMUSG00000073594	Gm10545	0	0	0	0	0	0
ENSMUSG00000073598	1700066B19Rik	63.77	30.12	103.04	90.03	150.04	33.02
ENSMUSG00000073599	Ecscr	269	91	172	50	33	9
ENSMUSG00000073600	Prob1	234.14	163.51	178.2	30.01	20.01	17.01
ENSMUSG00000073601	Serpinb3c	0	0	0	0	0	0
ENSMUSG00000073602	Serpinb3b	0	0	0	0	0	0
ENSMUSG00000073607	Gm10548	10.49	20.41	16.33	0.01	3.82	1.1
ENSMUSG00000073608	Gm6086	10.7	21.91	23.67	29.99	31.93	41.9
ENSMUSG00000073609	D2hgdh	227.67	223.28	227.8	425	388	100
ENSMUSG00000073610	Gm10549	1	0	0	0	0	2
ENSMUSG00000073616	Myeov2	602	523	618	469	589.01	84
ENSMUSG00000073627	C130036L24Rik	29.58	30.63	30.04	23.96	25.97	13.23
ENSMUSG00000073628	Gm10552	1.78	1	0.18	0.56	0	6.89
ENSMUSG00000073631	Gm10553	0	0	0	0	0	0
ENSMUSG00000073633	Fbxo36	45	35	52	8	12	4
ENSMUSG00000073639	Rab18	1271.92	1244	1301	1056	1030	220
ENSMUSG00000073640	Rpl27-ps3	87.34	153.31	633.34	1037.75	1329.46	89.12
ENSMUSG00000073643	Wdfy1	1274.57	1403.8	1417.72	735.63	639.88	145.79
ENSMUSG00000073647	Gm10557	448.19	583.11	443.1	341.86	362.58	56.91
ENSMUSG00000073650	Catip	39	3	12	1	2	2.22
ENSMUSG00000073652	Apol7d	0	3	0	0	0	0
ENSMUSG00000073656	Gm10558	0	0	0	0	0	0
ENSMUSG00000073658	Crygb	0	0	0	0	0	0
ENSMUSG00000073664	Nbeal1	5890.5	6763.31	7147.13	3660.77	3526.99	858.74
ENSMUSG00000073676	Hspe1	1174	2030.62	1425.47	1226	953	177.67
ENSMUSG00000073678	Pgap1	1178.09	711.74	832.62	7462.56	8631.24	1755.75
ENSMUSG00000073679	Mxra8os	0	0	0	0	1	0
ENSMUSG00000073680	Tmem88b	11.85	28.76	22.03	14.27	10.49	7.95
ENSMUSG00000073682	Gm10563	0.96	3.17	1.89	0	0	1.41
ENSMUSG00000073684	Faap20	236	138	153	151	170	38
ENSMUSG00000073686	Gm10564	0	0	0	0	0	0
ENSMUSG00000073699	Gm833	0	0	1.13	0	0	0
ENSMUSG00000073700	Klhl21	1089.73	480.79	477.71	943.67	793.54	98.58
ENSMUSG00000073702	Rpl31	5559.35	5687.72	7057.18	8333.3	8394.63	1509.7
ENSMUSG00000073705	Apitd1	26	4	23	10	18	1
ENSMUSG00000073716	Gm13241	5.68	0	0	0	0	4.92
ENSMUSG00000073721	Gm13125	0	0	0	0	0	0
ENSMUSG00000073722	4931408C20Rik	0	0	0	0	0	2
ENSMUSG00000073723	Gm13102	0	0	0	0	0	0
ENSMUSG00000073724	Pramel4	1	0	2.91	0.98	0	3.06
ENSMUSG00000073725	Lmbrd1	1481.96	1243.48	1337.42	1175.78	1290.01	272.13
ENSMUSG00000073728	Tmem51os1	15.01	2	9.29	17.29	21.01	3
ENSMUSG00000073730	4933415F23Rik	0	0	0	0	0	0
ENSMUSG00000073731	AI507597	0	0	0	0	0	0
ENSMUSG00000073733	Rsg1	9.88	9.65	11.43	15.93	8.38	2.99
ENSMUSG00000073735	Defb18	0	0	0	0	0	0
ENSMUSG00000073737	Gm10566	5.24	0	0	0	0	0
ENSMUSG00000073739	Gm16287	2.29	9.43	6.32	16.87	8.5	5.44
ENSMUSG00000073747	Gm7534	0	0	0	0	0	0
ENSMUSG00000073752	Gm10570	0	0	0	0	0	0
ENSMUSG00000073753	Gm10571	17	32	33	39.36	18	4
ENSMUSG00000073755	5730409E04Rik	67.64	27.52	43.13	21.07	11.21	0
ENSMUSG00000073758	Sh3d21	197	129.01	72	194.07	153.04	48
ENSMUSG00000073759	4933407E24Rik	0	0	0	0	0	0
ENSMUSG00000073761	4933427I04Rik	26.09	52.05	39.35	27.68	26.87	8.03
ENSMUSG00000073764	Gm12888	0	1	0	0	1	1.01
ENSMUSG00000073765	Gm12863	0	0	0	0	0	0
ENSMUSG00000073768	Olfr1330	0	0	0	0	0	0
ENSMUSG00000073769	Olfr1331	0	0	0	0	0	0
ENSMUSG00000073771	Btbd19	88.2	56.68	50.71	184.03	193.73	39.56
ENSMUSG00000073774	Kncn	3	6	2	1	0	0
ENSMUSG00000073775	Kti12	216	181	166	230	161	42
ENSMUSG00000073778	Faddos	0	0	0	0	0	1
ENSMUSG00000073779	Lrp8os2	0	0	0	0	0	2
ENSMUSG00000073781	Gm6471	0	0	0	0	0	0
ENSMUSG00000073785	Krtap5-5	0	0	0	0	0	0
ENSMUSG00000073786	Gm7579	0	0	0	0	0	0
ENSMUSG00000073787	Gm10575	7	12	11	11	14	2
ENSMUSG00000073789	Gm10577	0	0	0	0	0	0
